"id","survey_year","female","age","n_persons","n_children","years_educ","income","employed","employed_id","sector","sector_id"
19332,2017,FALSE,67,2,0,11.5,0,"[5] Not employed",5,NA,NA
19332,2018,FALSE,68,2,0,11.5,0,"[5] Not employed",5,NA,NA
19332,2019,FALSE,69,2,0,11.5,0,"[5] Not employed",5,NA,NA
12043,2015,TRUE,72,1,0,12,0,"[5] Not employed",5,NA,NA
12043,2016,TRUE,73,1,0,12,0,"[5] Not employed",5,NA,NA
12043,2017,TRUE,74,1,0,12,0,"[5] Not employed",5,NA,NA
20013,2015,FALSE,49,3,1,10.5,32215.673828125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
18635,2015,FALSE,77,2,0,11,0,"[5] Not employed",5,NA,NA
18635,2016,FALSE,78,2,0,11,0,"[5] Not employed",5,NA,NA
18635,2017,FALSE,79,2,0,11,0,"[5] Not employed",5,NA,NA
18635,2018,FALSE,80,2,0,11,0,"[5] Not employed",5,NA,NA
18635,2019,FALSE,81,2,0,11,0,"[5] Not employed",5,NA,NA
26620,2015,FALSE,46,4,1,10.5,33014.7109375,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
26620,2016,FALSE,47,4,1,10.5,42759.625,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
22696,2015,TRUE,65,2,0,9,0,"[5] Not employed",5,NA,NA
22696,2016,TRUE,66,2,0,9,0,"[5] Not employed",5,NA,NA
12668,2015,FALSE,73,3,0,9,0,"[5] Not employed",5,NA,NA
12668,2016,FALSE,74,2,0,9,0,"[5] Not employed",5,NA,NA
12668,2017,FALSE,75,2,0,9,0,"[5] Not employed",5,NA,NA
12668,2018,FALSE,76,2,0,9,0,"[5] Not employed",5,NA,NA
12668,2019,FALSE,77,2,0,9,0,"[5] Not employed",5,NA,NA
29084,2015,TRUE,70,3,0,9,0,"[5] Not employed",5,NA,NA
29084,2016,TRUE,71,2,0,9,0,"[5] Not employed",5,NA,NA
29084,2017,TRUE,72,2,0,9,0,"[5] Not employed",5,NA,NA
29084,2018,TRUE,73,2,0,9,0,"[5] Not employed",5,NA,NA
29084,2019,TRUE,74,2,0,9,0,"[5] Not employed",5,NA,NA
21591,2015,TRUE,58,2,0,12,30228.328125,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
21591,2016,TRUE,59,2,0,12,33151.8515625,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
21591,2017,TRUE,60,2,0,12,33799.73046875,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
21591,2018,TRUE,61,2,0,12,34245.13671875,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
21591,2019,TRUE,62,2,0,12,32260.591796875,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
16386,2015,TRUE,53,2,0,13,22580.6953125,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
16386,2016,TRUE,54,2,0,13,23334.28515625,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
16386,2017,TRUE,55,2,0,13,24166.00390625,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
16386,2018,TRUE,56,2,0,13,25142.056640625,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
16386,2019,TRUE,57,2,0,13,28676.6484375,"[2] Employed part-time",2,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
30194,2015,TRUE,57,2,0,14.5,22745.0859375,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
30194,2016,TRUE,58,2,0,14.5,21493.5234375,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
30194,2017,TRUE,59,2,0,14.5,35108.1640625,"[2] Employed part-time",2,"[84] Public administration and defense; compulsory social security",84
30194,2018,TRUE,60,2,0,14.5,31714.462890625,"[5] Not employed",5,NA,NA
30194,2019,TRUE,61,2,0,14.5,0,"[5] Not employed",5,NA,NA
29821,2015,TRUE,33,3,0,13,9586.96875,"[2] Employed part-time",2,"[85] Education and teaching",85
29821,2016,TRUE,34,3,0,13,8201.5009765625,"[2] Employed part-time",2,"[85] Education and teaching",85
29821,2017,TRUE,35,2,0,18,374.650146484375,"[1] Employed full-time",1,"[85] Education and teaching",85
29821,2018,TRUE,36,2,0,18,15130.20703125,"[1] Employed full-time",1,"[85] Education and teaching",85
29821,2019,TRUE,37,2,0,18,61918.42578125,"[1] Employed full-time",1,"[85] Education and teaching",85
25609,2015,TRUE,31,2,0,18,51253.82421875,"[1] Employed full-time",1,"[20] Manufacture of chemical products",20
25609,2017,TRUE,33,3,1,18,2856.603515625,"[5] Not employed",5,NA,NA
25609,2018,TRUE,34,3,1,18,8584.1865234375,"[2] Employed part-time",2,NA,NA
25609,2019,TRUE,35,5,3,18,13052.2421875,"[5] Not employed",5,NA,NA
25746,2015,FALSE,50,3,1,10.5,54108.24609375,"[1] Employed full-time",1,"[25] Manufacture of fabricated metal products",25
25746,2016,FALSE,51,3,1,10.5,46684.37109375,"[1] Employed full-time",1,"[25] Manufacture of fabricated metal products",25
25746,2017,FALSE,52,1,0,10.5,53438.0625,"[1] Employed full-time",1,"[25] Manufacture of fabricated metal products",25
25746,2018,FALSE,53,1,0,10.5,53572.26171875,"[1] Employed full-time",1,"[25] Manufacture of fabricated metal products",25
25746,2019,FALSE,54,1,0,10.5,50852.54296875,"[1] Employed full-time",1,"[29] Manufacture of motor vehicles and parts of motor vehicles",29
24454,2015,TRUE,82,1,0,10.5,0,"[5] Not employed",5,NA,NA
24454,2016,TRUE,83,1,0,10.5,0,"[5] Not employed",5,NA,NA
24454,2017,TRUE,84,1,0,10.5,0,"[5] Not employed",5,NA,NA
24454,2018,TRUE,85,1,0,10.5,0,"[5] Not employed",5,NA,NA
24454,2019,TRUE,86,1,0,10.5,0,"[5] Not employed",5,NA,NA
9750,2015,TRUE,58,2,0,12,26271.439453125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
9750,2016,TRUE,59,2,0,12,33817.03125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
9750,2017,TRUE,60,2,0,12,43561.87109375,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
9750,2018,TRUE,61,2,0,12,43517.19921875,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
9750,2019,TRUE,62,2,0,12,45828.4309082031,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
6146,2015,TRUE,32,2,1,11,31554.99609375,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
6146,2016,TRUE,33,2,1,11,27589.83984375,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
6146,2017,TRUE,34,2,1,11,32353.900390625,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
6146,2018,TRUE,35,2,1,11,27215.228515625,"[2] Employed part-time",2,"[88] Social services (excluding homes)",88
6146,2019,TRUE,36,2,1,11,38157.15625,"[1] Employed full-time",1,"[88] Social services (excluding homes)",88
4178,2015,TRUE,80,2,0,9,0,"[5] Not employed",5,NA,NA
9863,2015,TRUE,46,1,0,NA,0,"[5] Not employed",5,NA,NA
9863,2016,TRUE,47,2,0,NA,0,"[5] Not employed",5,NA,NA
22719,2015,FALSE,52,3,0,12,45650.6015625,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
22719,2016,FALSE,53,3,0,12,45626.26171875,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
22719,2017,FALSE,54,3,0,12,48089.91015625,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
22719,2018,FALSE,55,3,0,12,51991.984375,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
22719,2019,FALSE,56,3,0,12,7116.52392578125,"[1] Employed full-time",1,"[84] Public administration and defense; compulsory social security",84
27367,2015,FALSE,50,4,2,10.5,0,"[5] Not employed",5,NA,NA
27367,2016,FALSE,51,4,2,10.5,0,"[5] Not employed",5,NA,NA
27367,2017,FALSE,52,4,2,10.5,0,"[5] Not employed",5,NA,NA
27367,2018,FALSE,53,4,1,10.5,0,"[5] Not employed",5,NA,NA
27367,2019,FALSE,54,4,1,10.5,0,"[5] Not employed",5,NA,NA
14156,2015,TRUE,73,1,0,11,0,"[5] Not employed",5,NA,NA
10429,2015,FALSE,40,3,1,10.5,23270.076171875,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
10429,2016,FALSE,41,3,1,10.5,30911.580078125,"[1] Employed full-time",1,"[47] Retail trade (excluding motor vehicles and motorcycles)",47
10429,2017,FALSE,42,3,1,10.5,22983.998046875,"[1] Employed full-time",1,"[80] Guard and security services and detective agencies",80
358,2015,FALSE,51,2,0,11.5,21944.037109375,"[1] Employed full-time",1,"[43] Site preparation, construction installation and other finishing trades",43
358,2016,FALSE,52,2,0,11.5,33057.48046875,"[1] Employed full-time",1,"[43] Site preparation, construction installation and other finishing trades",43
358,2017,FALSE,53,2,0,11.5,31944.599609375,"[1] Employed full-time",1,"[33] Repair and installation of machinery and equipment",33
358,2018,FALSE,54,3,1,11.5,35387.140625,"[1] Employed full-time",1,"[33] Repair and installation of machinery and equipment",33
358,2019,FALSE,55,3,0,11.5,40013.078125,"[1] Employed full-time",1,"[28] Mechanical engineering",28
3622,2015,FALSE,21,3,1,13,0,"[5] Not employed",5,NA,NA
3622,2016,FALSE,22,3,1,13,0,"[5] Not employed",5,NA,NA
3622,2017,FALSE,23,3,1,13,0,"[5] Not employed",5,NA,NA
3622,2018,FALSE,24,3,0,13,0,"[5] Not employed",5,NA,NA
19524,2015,FALSE,72,2,0,18,0,"[5] Not employed",5,NA,NA
19524,2016,FALSE,73,2,0,18,0,"[5] Not employed",5,NA,NA
19524,2017,FALSE,74,2,0,18,0,"[5] Not employed",5,NA,NA
19524,2018,FALSE,75,2,0,18,0,"[5] Not employed",5,NA,NA
19524,2019,FALSE,76,2,0,18,0,"[5] Not employed",5,NA,NA
7564,2015,FALSE,39,1,0,18,0,"[1] Employed full-time",1,"[59] Production, distribution and sale of motion pictures and television programs; cinemas; sound studios and music publishing",59
7564,2016,FALSE,40,1,0,18,0,"[1] Employed full-time",1,"[59] Production, distribution and sale of motion pictures and television programs; cinemas; sound studios and music publishing",59
7564,2017,FALSE,41,2,0,18,0,"[1] Employed full-time",1,"[59] Production, distribution and sale of motion pictures and television programs; cinemas; sound studios and music publishing",59
7564,2018,FALSE,42,1,0,18,0,"[1] Employed full-time",1,"[59] Production, distribution and sale of motion pictures and television programs; cinemas; sound studios and music publishing",59
7564,2019,FALSE,43,1,0,18,0,"[1] Employed full-time",1,"[59] Production, distribution and sale of motion pictures and television programs; cinemas; sound studios and music publishing",59
672,2015,FALSE,75,2,0,13,0,"[5] Not employed",5,NA,NA
672,2016,FALSE,76,2,0,13,0,"[5] Not employed",5,NA,NA
672,2017,FALSE,77,2,0,13,0,"[5] Not employed",5,NA,NA
672,2019,FALSE,79,1,0,13,0,"[5] Not employed",5,NA,NA
26504,2015,TRUE,60,2,0,10.5,41391.0546875,"[1] Employed full-time",1,"[27] Manufacture of electrical equipment",27
26504,2016,TRUE,61,2,0,10.5,47332.9765625,"[1] Employed full-time",1,"[27] Manufacture of electrical equipment",27
26504,2017,TRUE,62,2,0,10.5,48194.62109375,"[1] Employed full-time",1,"[27] Manufacture of electrical equipment",27
26504,2018,TRUE,63,2,0,10.5,47323.0390625,"[1] Employed full-time",1,"[27] Manufacture of electrical equipment",27
26504,2019,TRUE,64,2,0,10.5,48949.8984375,"[1] Employed full-time",1,NA,NA
9490,2015,FALSE,79,2,0,18,0,"[5] Not employed",5,NA,NA
9490,2016,FALSE,80,2,0,18,0,"[5] Not employed",5,NA,NA
9490,2017,FALSE,81,2,0,18,0,"[5] Not employed",5,NA,NA
9490,2018,FALSE,82,2,0,18,0,"[5] Not employed",5,NA,NA
9490,2019,FALSE,83,2,0,18,0,"[5] Not employed",5,NA,NA
26794,2015,TRUE,83,1,0,10,0,"[5] Not employed",5,NA,NA
26794,2016,TRUE,84,1,0,10,0,"[5] Not employed",5,NA,NA
26794,2017,TRUE,85,1,0,10,0,"[5] Not employed",5,NA,NA
26794,2018,TRUE,86,1,0,10,0,"[5] Not employed",5,NA,NA
16831,2015,TRUE,50,4,0,9,0,"[5] Not employed",5,NA,NA
16831,2016,TRUE,51,3,0,9,0,"[5] Not employed",5,NA,NA
5085,2015,TRUE,66,1,0,10.5,0,"[5] Not employed",5,NA,NA
5085,2016,TRUE,67,1,0,10.5,0,"[5] Not employed",5,NA,NA
5085,2017,TRUE,68,1,0,10.5,0,"[5] Not employed",5,NA,NA
